angle, string length, release angle
-0.0062831854,1755.6946,NaN
-0.012566371,1754.547,NaN
-0.018849555,1753.3969,NaN
-0.025132742,1755.8782,NaN
-0.03141593,1754.7241,NaN
-0.037699115,1757.2108,NaN
-0.0439823,1757.8727,NaN
-0.050265487,1756.7122,NaN
-0.056548674,1757.3715,NaN
-0.06283186,1759.8655,NaN
-0.06911504,1758.6981,NaN
-0.07539823,1757.5288,NaN
-0.081681415,1760.0222,NaN
-0.0879646,1758.8484,NaN
-0.09424779,1759.5067,NaN
-0.100530975,1760.1648,NaN
-0.10681416,1758.9851,NaN
-0.11309735,1761.4785,NaN
-0.11938053,1760.2943,NaN
-0.12566371,1760.9487,NaN
-0.13194689,1761.6025,NaN
-0.13823007,1760.4119,NaN
-0.14451325,1762.9117,NaN
-0.15079643,1763.5642,NaN
-0.1570796,1762.3672,NaN
-0.16336279,1761.1686,NaN
-0.16964597,1763.6711,NaN
-0.17592914,1764.319,NaN
-0.18221232,1763.114,NaN
-0.1884955,1763.7605,NaN
-0.19477868,1764.4073,NaN
-0.20106186,1763.1957,NaN
-0.20734504,1765.6982,NaN
-0.21362822,1764.4824,NaN
-0.2199114,1766.9937,NaN
-0.22619458,1767.6385,NaN
-0.23247775,1766.4166,NaN
-0.23876093,1765.1924,NaN
-0.24504411,1763.9662,NaN
-0.2513273,1768.3391,NaN
-0.2576105,1767.1088,NaN
-0.2638937,1767.7495,NaN
-0.2701769,1768.3905,NaN
-0.27646008,1767.1537,NaN
-0.28274328,1769.6707,NaN
-0.28902647,1768.4299,NaN
-0.29530966,1769.0643,NaN
-0.30159286,1767.8193,NaN
-0.30787605,1770.3315,NaN
-0.31415924,1769.0825,NaN
-0.32044244,1771.6001,NaN
-0.32672563,1770.3466,NaN
-0.33300883,1770.979,NaN
-0.33929202,1771.6111,NaN
-0.3455752,1770.3516,NaN
-0.3518584,1770.978,NaN
-0.3581416,1769.7144,NaN
-0.3644248,1774.1339,NaN
-0.370708,1772.8658,NaN
-0.37699118,1773.4932,NaN
-0.38327438,1772.2216,NaN
-0.38955757,1772.8435,NaN
-0.39584076,1771.5676,NaN
-0.40212396,1775.9957,NaN
-0.40840715,1774.7153,NaN
-0.41469035,1775.3378,NaN
-0.42097354,1774.0537,NaN
-0.42725673,1774.6744,NaN
-0.43353993,1775.2955,NaN
-0.43982312,1775.9131,NaN
-0.4461063,1774.6207,NaN
-0.4523895,1775.2367,NaN
-0.4586727,1775.8528,NaN
-0.4649559,1774.5547,NaN
-0.4712391,1777.0851,NaN
-0.47752228,1775.7827,NaN
-0.48380548,1778.3153,NaN
-0.49008867,1777.0089,NaN
-0.49637187,1775.7007,NaN
-0.502655,1778.2338,NaN
-0.5089382,1776.9211,NaN
-0.51522136,1775.6069,NaN
-0.5215045,1780.0659,NaN
-0.5277877,1778.7474,NaN
-0.53407085,1777.427,NaN
-0.540354,1776.1047,NaN
-0.5466372,1778.6387,NaN
-0.55292034,1779.2432,NaN
-0.5592035,1779.8477,NaN
-0.56548667,1780.4519,NaN
-0.57176983,1781.0562,NaN
-0.578053,1781.6584,NaN
-0.58433616,1780.3223,NaN
-0.5906193,1782.864,NaN
-0.5969025,1781.5234,NaN
-0.60318565,1782.1224,NaN
-0.6094688,1780.7781,NaN
-0.615752,1783.3174,NaN
-0.62203515,1781.969,NaN
-0.6283183,1784.5131,NaN
-0.6346015,1783.161,NaN
-0.64088464,1781.8066,NaN
-0.6471678,1780.4506,NaN
-0.65345097,1782.9929,NaN
-0.65973413,1781.6324,NaN
-0.6660173,1784.1765,NaN
-0.67230046,1782.8123,NaN
-0.6785836,1785.3589,NaN
-0.6848668,1783.9907,NaN
-0.69114995,1784.5786,NaN
-0.6974331,1787.1282,NaN
-0.7037163,1785.7544,NaN
-0.70999944,1786.3414,NaN
-0.7162826,1784.9631,NaN
-0.72256577,1787.5127,NaN
-0.72884893,1786.1311,NaN
-0.7351321,1784.7473,NaN
-0.74141526,1783.362,NaN
-0.7476984,1785.9092,NaN
-0.7539816,1784.5198,NaN
-0.76026475,1789.0424,NaN
-0.7665479,1787.649,NaN
-0.7728311,1786.2535,NaN
-0.77911425,1790.783,NaN
-0.7853974,1789.3838,NaN
-0.7916806,1787.983,NaN
-0.79796374,1786.5797,NaN
-0.8042469,1789.133,NaN
-0.81053007,1787.726,NaN
-0.81681323,1790.28,NaN
-0.8230964,1788.8691,NaN
-0.82937956,1789.4403,NaN
-0.8356627,1788.0258,NaN
-0.8419459,1790.5804,NaN
-0.84822905,1791.1497,NaN
-0.8545122,1789.7296,NaN
-0.8607954,1790.2979,NaN
-0.86707854,1788.8738,NaN
-0.8733617,1791.4299,NaN
-0.8796449,1790.0023,NaN
-0.88592803,1792.5591,NaN
-0.8922112,1791.1279,NaN
-0.89849436,1791.6896,NaN
-0.9047775,1792.2517,NaN
-0.9110607,1790.8148,NaN
-0.91734385,1793.375,NaN
-0.923627,1791.9342,NaN
-0.9299102,1792.4932,NaN
-0.93619335,1791.0486,NaN
-0.9424765,1793.6074,NaN
-0.9487597,1792.1592,NaN
-0.95504284,1794.7185,NaN
-0.961326,1793.2664,NaN
-0.96760917,1791.8123,NaN
-0.97389233,1796.3826,NaN
-0.9801755,1794.9248,NaN
-0.98645866,1793.4653,NaN
-0.9927418,1792.0039,NaN
-0.999025,1794.5669,NaN
-1.0053082,1793.1016,NaN
-1.0115913,1795.6613,NaN
-1.0178745,1796.2095,NaN
-1.0241576,1794.7391,NaN
-1.0304408,1797.3021,NaN
-1.036724,1795.8279,NaN
-1.0430071,1794.3518,NaN
-1.0492903,1792.8739,NaN
-1.0555735,1795.435,NaN
-1.0618566,1793.9535,NaN
-1.0681398,1796.5165,NaN
-1.074423,1797.0543,NaN
-1.0807061,1797.5947,NaN
-1.0869893,1796.1055,NaN
-1.0932724,1794.6147,NaN
-1.0995556,1799.2063,NaN
-1.1058388,1797.712,NaN
-1.1121219,1798.2456,NaN
-1.1184051,1796.7476,NaN
-1.1246883,1797.281,NaN
-1.1309714,1797.813,NaN
-1.1372546,1798.3433,NaN
-1.1435378,1798.8754,NaN
-1.1498209,1797.3687,NaN
-1.1561041,1799.9329,NaN
-1.1623873,1798.4226,NaN
-1.1686704,1798.95,NaN
-1.1749536,1797.4358,NaN
-1.1812367,1800.0002,NaN
-1.1875199,1798.4829,NaN
-1.1938031,1799.0072,NaN
-1.2000862,1799.5295,NaN
-1.2063694,1800.0494,NaN
-1.2126526,1800.5713,NaN
-1.2189357,1799.0448,NaN
-1.2252189,1801.611,NaN
-1.231502,1800.0807,NaN
-1.2377852,1800.5996,NaN
-1.2440684,1799.0667,NaN
-1.2503515,1801.6316,NaN
-1.2566347,1800.095,NaN
-1.2629179,1800.6104,NaN
-1.269201,1799.0704,NaN
-1.2754842,1801.6345,NaN
-1.2817674,1800.0905,NaN
-1.2880505,1802.6501,NaN
-1.2943337,1801.103,NaN
-1.3006169,1801.6108,NaN
-1.3069,1802.1215,NaN
-1.3131832,1800.5688,NaN
-1.3194664,1803.1356,NaN
-1.3257495,1801.5798,NaN
-1.3320327,1804.1418,NaN
-1.3383158,1802.5825,NaN
-1.344599,1803.0857,NaN
-1.3508822,1801.5232,NaN
-1.3571653,1802.0271,NaN
-1.3634485,1800.461,NaN
-1.3697317,1805.0884,NaN
-1.3760148,1803.5188,NaN
-1.382298,1804.015,NaN
-1.3885812,1802.4425,NaN
-1.3948643,1802.9397,NaN
-1.4011475,1801.3636,NaN
-1.4074306,1803.9287,NaN
-1.4137138,1802.3491,NaN
-1.419997,1804.9058,NaN
-1.4262801,1805.4005,NaN
-1.4325633,1803.8159,NaN
-1.4388465,1802.2297,NaN
-1.4451296,1804.7969,NaN
-1.4514128,1805.2848,NaN
-1.457696,1805.7748,NaN
-1.4639791,1804.1818,NaN
-1.4702623,1802.5876,NaN
-1.4765455,1805.1465,NaN
-1.4828286,1803.5486,NaN
-1.4891118,1806.1111,NaN
-1.495395,1804.5101,NaN
-1.5016781,1802.9078,NaN
-1.5079613,1805.4695,NaN
-1.5142444,1803.8638,NaN
-1.5205276,1806.4232,NaN
-1.5268108,1804.8142,NaN
-1.5330939,1805.2886,NaN
-1.5393771,1805.7595,NaN
-1.5456603,1806.2336,NaN
-1.5519434,1804.6182,NaN
-1.5582266,1807.1816,NaN
-1.5645097,1805.5629,NaN
-1.5707929,1806.035,NaN
-1.5770761,1806.4966,NaN
-1.5833592,1804.8733,NaN
-1.5896424,1807.4204,NaN
